shapeGroup,area,surfaceArea
IRQ,436955.2540425409,439502.40845743084
IRL,69915.91423607466,70476.98641449011
KAZ,2725273.4136124332,2738770.9871975193
KEN,586083.4124599773,590388.6248067281
PRK,122012.0052523748,131664.71583054154
KOR,98801.22438085894,105577.22718948172
XKX,10904.334616526083,11385.719144200932
SRB,77458.6240599012,79698.15999086827
SYC,436.07553796376754,450.76857037896724
SLE,72369.96085697981,73413.43909999642
SGP,685.7328613999263,690.9173847039324
ITA,300768.58767358295,317174.37833367434
KGZ,198324.08423549234,220302.68381745022
LAO,229745.8503951512,247129.4013091165
LVA,64587.95714176345,65044.02029572879
LBN,10223.43330609683,10692.398102632833
LSO,30559.091901460288,32529.291984086274
LBR,95816.54572603108,97279.42802589989
LBY,1616879.9339406206,1620924.057036282
LIE,160.0465520454067,182.3609575347237
LTU,64907.96963496018,65267.01530358273
LUX,2595.8293287904175,2653.4176654111616
MCO,2.085683267946961,2.2035673122555877
MNG,1564874.5711177334,1587221.3858131908
MNE,13904.635970024616,14896.075356105515
MKD,25437.19139552974,26796.54636427241
MDG,590540.0760557242,607392.471182946
MWI,118685.48910498591,120152.75824198278
MYS,329134.8771053749,344100.5784249644
MDV,161.40379353105135,161.4890436105883
MLI,1255034.423228982,1256460.7376260227
MLT,323.11645988816446,327.5228620513076
MRT,1037608.9986446341,1038734.1920459182
MUS,2003.620350899117,2038.9282640278868
MDA,33853.31576161182,34044.10793004454
OMN,308369.5466341303,313116.64930597536
PAK,872780.6593036453,916736.7801237867
PLW,461.6671897503954,474.78893544737286
PHL,292438.5927583231,308396.3256352745
POL,311922.8455455551,313850.82904380065
PRT,92001.92330594509,94031.93375913368
ROU,237720.86626954976,244105.81933554553
RWA,25279.187990230275,26373.89211767584
SMR,61.049053547287656,63.098999799183176
TUN,155291.7788919967,156218.67432446827
TKM,484579.26812914567,486921.6545052077
STP,989.9255298586194,1068.3954965949736
SAU,1924547.1759924262,1941976.6200568478
SEN,196295.96359808752,196430.7838768417
SVK,49025.365717105735,50642.057187746985
SVN,20273.619335411895,21579.09807333977
SOM,633225.4124479177,636882.9455133586
SSD,642458.4779585694,643677.7499320409
ESP,506041.83182325424,520576.4325325028
LKA,65973.26629592014,67192.1722172178
SDN,1846853.418451272,1853506.9992924028
SWZ,17359.790171128203,17710.3590974447
SWE,449146.6646454013,453249.34004859056
AFG,641816.4451422595,683783.575762722
ALB,28678.51258592828,30964.846490748645
DZA,2306122.341121552,2320363.742133921
AND,464.45641155146905,535.4830170987523
AGO,1246908.0423267188,1254915.1670125774
ARM,0.0,0.0
NLD,36191.064840094004,36273.90693476249
AUT,83937.41481808174,91179.21646637248
AZE,5.541865253523284E-4,5.547858460966978E-4
BLR,207614.56922462521,208527.20795737626
BEL,30653.169430982758,30888.269189445862
BTN,38585.101940563116,45685.209136487894
BIH,51226.36892117989,53746.80929359404
BWA,578160.0613440195,578338.1142004447
COM,1647.1564160796072,1739.5674875386003
COD,2327981.882956636,2354740.222926235
COG,344024.0744931735,347701.7156413908
BRN,5891.7754096561375,6038.081504483467
BGR,110950.66550632719,114105.95224041856
BFA,273353.9281121956,273553.81287630147
BDI,26834.78311780588,27743.44103266761
CPV,4063.3018255994652,4335.834395107564
KHM,181495.93281825187,183031.3369207506
CMR,464969.2275242838,472254.332151343
CIV,321776.4810309026,323506.6894206092
HRV,56366.03152405646,57705.412161495515
CAF,620092.6810927821,622434.1697893078
TCD,1269811.2425398082,1276323.2570649981
CHN,9346860.882201733,9855268.994076865
CYP,9058.458747074306,9362.991533938935
CZE,78864.49489416943,80076.74471994088
DNK,44510.248652190065,44792.44042794281
DJI,21683.882685866014,22256.458318887497
EGY,983835.1682421066,990686.1919178686
GNQ,26840.845592472342,27592.815782693116
ERI,120414.76914155975,125251.2977182623
EST,45272.76364632949,45513.8043161021
ETH,1128791.4043765015,1157625.3077872805
FIN,335994.133268875,337656.39170772355
GAB,262839.0575974274,268928.38229862106
GMB,10717.45341942698,10726.640433620076
MAR,413905.1089196505,424942.1297672972
MOZ,785932.3263591153,790487.3990239548
NAM,823898.1473550706,829879.661399554
GEO,45626.83424058589,50916.38024450583
DEU,357624.4354478759,362392.8972614108
GHA,238763.6116202181,239912.57895228986
GRC,132156.69903362574,139205.46894279477
GRL,2155951.67409032,2196574.8110723547
NPL,147577.71499940346,170573.49967353788
GIN,244591.55864618238,247572.5388262299
GNB,33656.93578327805,33728.82838555667
JOR,89119.23307878728,89988.33631590477
HUN,93008.12240976102,93512.12564824158
ISL,102490.62208192483,104912.9154701396
IRN,1587171.9148836588,1636907.444482106
CHE,41287.18224391732,45970.92614728567
SYR,187551.82660131322,188306.81443135248
TWN,36325.052990043536,40670.755116211905
TJK,141298.5254614678,160619.08284452657
TZA,940178.5903264369,949063.9490117538
THA,513439.823872961,527973.943068577
TLS,14939.393873282592,15696.884589551166
TGO,56671.30556458708,56985.97377489353
UGA,241392.68690325672,243432.95685246872
UZB,448985.7452861426,453692.3337689164
VAT,0.5176585290048664,0.5270299151051694
VNM,327171.43979165936,347258.92912030243
ZMB,751152.8041638546,753999.1131660864
ZWE,390728.90219719673,393560.92261122115
YEM,453322.22176188085,469952.48945539905
UKR,597861.9883050863,601141.9926554478
BHR,778.720359154878,779.4218519437926
KWT,17364.043571300346,17367.801825132312
QAT,11652.503666272742,11657.439898106744
ARE,70868.92463753649,71407.7523571794
TUR,769442.766737089,801900.4363990432
ISR,20752.897524793323,21069.650603755737
BGD,139353.81811600103,140309.45297813762
MMR,667100.0448234844,707585.6992317544
IND,3150158.8597227978,3232288.582065697
BEN,115292.32323602278,115462.6124028923
NER,1180867.7589734567,1183114.4710487018
NGA,908926.6246906975,913251.292549007
111,10417.046753945566,10419.977186863594
112,30445.97880439878,32466.567451220315
113,2475.670577821651,2923.2160644029595
114,1488.724023858646,1615.7781440671577
115,1.1775542779035977,1.1843403303400342
116,107.68773341989022,123.36830210438754
118,367.2519296211545,367.8277430421971
119,59.59444194350875,72.16988238352371
121,2795.4270706198413,3319.4571842770165
122,7.727917807604604,7.731673332212955
124,52.47681658160785,53.381935907764124
125,1.9807511609724555,1.982954769459162
126,86.22331360156763,88.33100629042997
127,4.239923414745315,4.712422116910477
128,0.44002065189304596,0.44002065189304596
129,5806.967365722757,5970.380191657917
ESH,269140.32490101206,269386.62927902304
KIR,924.5986739019329,925.0463586845608
JAM,10990.900156388081,11579.412501325789
JPN,376485.8174315792,405076.5361111302
MHL,127.92996365085271,128.02424663096104
MEX,1956389.5357889768,2031111.1649856681
FSM,659.4683966088259,686.1324296899305
NIC,128437.7630274482,131183.42025169326
PAN,75057.00626370216,78512.84348406036
PNG,460769.4709511277,487113.41615374596
PRY,399438.7172163195,399938.73191834637
PER,1292369.250713847,1366019.1125960974
RUS,1.69209153142797E7,1.7194273475421768E7
WSM,2868.664261744228,2933.483550519736
TON,680.9932222115318,693.7301507873874
TTO,5161.18144273313,5291.337293388974
SLB,27998.732226864468,29885.876557232732
ZAF,1219874.3204952793,1234729.960012096
KNA,269.2647606104742,280.79852790269564
LCA,617.457567042237,653.8759309044741
VCT,386.21359257226896,416.64781970514645
SUR,145784.43455908878,148509.0041417042
GBR,251979.18799243885,255794.22960209122
USA,9483865.646980664,9674974.444809932
ATG,446.57490749334266,452.4269188226403
ARG,2779060.4612415424,2817566.3746966813
AUS,7685999.861025562,7717105.29164852
BHS,12454.443826181148,12460.72729174366
BRB,441.40682293907935,444.4158811730459
BLZ,22045.190550305855,22526.491227672355
BOL,1083796.5512805588,1116111.0431792
NOR,384504.8498719685,402722.81400778034
COL,1135809.3033690949,1175189.1400839784
BRA,8471711.483865004,8566534.00972165
FRA,667338.9300058775,684241.5722379547
NZL,269482.8061308904,290744.040503133
CAN,9964045.019170381,1.0143279018640433E7
CRI,51307.89655126636,53864.603809206455
CUB,109727.28434083104,111016.95958344734
CHL,747404.8961741122,795770.7266805379
DMA,761.6641757670197,839.5105201968365
DOM,48333.609564225495,50309.3015263761
ECU,255019.71926271403,269588.04128610465
SLV,20689.239873461695,21536.266893421427
FJI,18601.085295430632,19498.99820531119
GRD,359.591693444277,378.2952179867147
NRU,22.671764643256658,22.77077543691217
GTM,108232.90691129913,113954.76551084839
GUY,210740.31327156705,214102.4223964706
HTI,27116.787024472844,28680.20974201608
HND,112049.07139068424,118718.58233485463
IDN,1883265.4461243304,1957929.9874466325
TUV,29.036505533666528,29.05046213007751
URY,177762.17232791166,178189.73980043002
VUT,12207.82837666404,12893.406632931381
VEN,911914.5291028497,933112.9760949053
117,11908.806985298983,11997.759176378922
120,5.3524605724467795,5.363380288562787
123,0.15876847294562818,0.16125834894768162
